AMount,Total,SRNO,Date,AveragePrice,BuyORSell,OrHold,Price,TQQQInvest,TOtQty,TQQQInvested,TQQQValues,PL,Adj Close,QQQInvest,QTRY,QQQInvested,QQQValues,PL,Invested,Price,,,,SOXL,10,,,,,
0,"2,000.00",1,2/6/2017,4.47,B,B,4.59,"1,000.00",217.86,"1,000.00","1,000.00",0.00%,18.36,"1,000.00",54.47,"1,000.00","1,000.00",0.00%,"2,000.00","2,000.00",0.00%,2,,TMF,,"98,956.54","31,396,835.83",,849,849000
0,"2,000.00",2,2/7/2017,4.51,B,H,4.64,0.00,217.86,"1,000.00","1,010.89",1.09%,18.73,0,54.47,"1,000.00","1,020.15",2.02%,"2,000.00","2,031.05",1.55%,0,,,,"33,000.00","85,000.00",,410,410000
0,"2,000.00",3,2/8/2017,4.54,B,H,4.66,0.00,217.86,"1,000.00","1,015.25",1.53%,19.49,0,54.47,"1,000.00","1,061.55",6.15%,"2,000.00","2,076.80",3.84%,0,,,,199.87%,36837.45%,,,1259000
0,"2,000.00",4,2/9/2017,4.56,S,S,4.54,0.00,0.00,0.00,0.00,0.00%,18.83,"1,015.25",108.38,"2,015.25","2,040.85",1.27%,"2,000.00","2,040.85",2.04%,1.015250545,,,,,1.21,,,
0,"2,000.00",5,2/10/2017,4.57,S,H,4.53,0.00,0.00,0.00,0.00,0.00%,18.80,0,108.38,"2,015.25","2,037.60",1.11%,"2,000.00","2,037.60",1.88%,0,,,,,"1,085,694.20",,,
0,"2,000.00",6,2/13/2017,4.60,S,H,4.56,0.00,0.00,0.00,0.00,0.00%,18.60,0,108.38,"2,015.25","2,015.92",0.03%,"2,000.00","2,015.92",0.80%,0,,,,,,,,
0,"2,000.00",7,2/14/2017,4.61,S,H,4.52,0.00,0.00,0.00,0.00,0.00%,18.18,0,108.38,"2,015.25","1,970.40",-2.23%,"2,000.00","1,970.40",-1.48%,0,,,,,,,,
0,"2,000.00",8,2/15/2017,4.63,B,B,4.63,"1,970.40",425.57,"1,970.40","1,970.40",0.00%,17.91,0,0.00,0.00,0.00,0.00%,"2,000.00","1,970.40",-1.48%,1.9704008,,,,,,,,
0,"2,000.00",9,2/16/2017,4.64,B,H,4.65,0.00,425.57,"1,970.40","1,978.91",0.43%,18.24,0,0.00,0.00,0.00,0.00%,"2,000.00","1,978.91",-1.05%,0,,,,,,,,
0,"2,000.00",10,2/17/2017,4.67,B,H,4.72,0.00,425.57,"1,970.40","2,008.70",1.94%,18.55,0,0.00,0.00,0.00,0.00%,"2,000.00","2,008.70",0.44%,0,,,,,,,,
0,"2,000.00",11,2/21/2017,4.69,B,H,4.92,0.00,425.57,"1,970.40","2,093.82",6.26%,18.45,0,0.00,0.00,0.00,0.00%,"2,000.00","2,093.82",4.69%,0,,,,,,,,
0,"2,000.00",12,2/22/2017,4.72,B,H,4.92,0.00,425.57,"1,970.40","2,093.82",6.26%,18.54,0,0.00,0.00,0.00,0.00%,"2,000.00","2,093.82",4.69%,0,,,,,,,,
0,"2,000.00",13,2/23/2017,4.74,S,S,4.68,0.00,0.00,0.00,0.00,0.00%,18.71,"2,093.82",111.91,"2,093.82","2,093.82",0.00%,"2,000.00","2,093.82",4.69%,2.093816833,,,,,,,,
0,"2,000.00",14,2/24/2017,4.74,S,H,4.67,0.00,0.00,0.00,0.00,0.00%,19.33,0,111.91,"2,093.82","2,163.20",3.31%,"2,000.00","2,163.20",8.16%,0,,,,,,,,
